B05010_001E,NAME,block group,county,state,tract
,"Block Group 2, Census Tract 5114, Wayne County, Michigan",2,163,26,511400
,"Block Group 3, Census Tract 5114, Wayne County, Michigan",3,163,26,511400
,"Block Group 4, Census Tract 5114, Wayne County, Michigan",4,163,26,511400
,"Block Group 5, Census Tract 5114, Wayne County, Michigan",5,163,26,511400
,"Block Group 1, Census Tract 5119, Wayne County, Michigan",1,163,26,511900
,"Block Group 2, Census Tract 5119, Wayne County, Michigan",2,163,26,511900
,"Block Group 1, Census Tract 5121, Wayne County, Michigan",1,163,26,512100
,"Block Group 2, Census Tract 5121, Wayne County, Michigan",2,163,26,512100
,"Block Group 3, Census Tract 5121, Wayne County, Michigan",3,163,26,512100
,"Block Group 4, Census Tract 5121, Wayne County, Michigan",4,163,26,512100
,"Block Group 5, Census Tract 5121, Wayne County, Michigan",5,163,26,512100
,"Block Group 1, Census Tract 5122, Wayne County, Michigan",1,163,26,512200
,"Block Group 2, Census Tract 5122, Wayne County, Michigan",2,163,26,512200
,"Block Group 1, Census Tract 5123, Wayne County, Michigan",1,163,26,512300
,"Block Group 2, Census Tract 5123, Wayne County, Michigan",2,163,26,512300
,"Block Group 1, Census Tract 5124, Wayne County, Michigan",1,163,26,512400
,"Block Group 2, Census Tract 5124, Wayne County, Michigan",2,163,26,512400
,"Block Group 3, Census Tract 5124, Wayne County, Michigan",3,163,26,512400
,"Block Group 1, Census Tract 5126, Wayne County, Michigan",1,163,26,512600
,"Block Group 2, Census Tract 5126, Wayne County, Michigan",2,163,26,512600
,"Block Group 3, Census Tract 5126, Wayne County, Michigan",3,163,26,512600
,"Block Group 4, Census Tract 5126, Wayne County, Michigan",4,163,26,512600
,"Block Group 1, Census Tract 5129, Wayne County, Michigan",1,163,26,512900
,"Block Group 2, Census Tract 5129, Wayne County, Michigan",2,163,26,512900
,"Block Group 3, Census Tract 5129, Wayne County, Michigan",3,163,26,512900
,"Block Group 1, Census Tract 5132, Wayne County, Michigan",1,163,26,513200
,"Block Group 2, Census Tract 5132, Wayne County, Michigan",2,163,26,513200
,"Block Group 3, Census Tract 5132, Wayne County, Michigan",3,163,26,513200
,"Block Group 1, Census Tract 5133, Wayne County, Michigan",1,163,26,513300
,"Block Group 2, Census Tract 5133, Wayne County, Michigan",2,163,26,513300
,"Block Group 1, Census Tract 5136, Wayne County, Michigan",1,163,26,513600
,"Block Group 2, Census Tract 5136, Wayne County, Michigan",2,163,26,513600
,"Block Group 1, Census Tract 5137, Wayne County, Michigan",1,163,26,513700
,"Block Group 2, Census Tract 5137, Wayne County, Michigan",2,163,26,513700
,"Block Group 3, Census Tract 5137, Wayne County, Michigan",3,163,26,513700
,"Block Group 1, Census Tract 5139, Wayne County, Michigan",1,163,26,513900
,"Block Group 2, Census Tract 5139, Wayne County, Michigan",2,163,26,513900
,"Block Group 3, Census Tract 5139, Wayne County, Michigan",3,163,26,513900
,"Block Group 1, Census Tract 5141, Wayne County, Michigan",1,163,26,514100
,"Block Group 2, Census Tract 5141, Wayne County, Michigan",2,163,26,514100
,"Block Group 3, Census Tract 5141, Wayne County, Michigan",3,163,26,514100
,"Block Group 4, Census Tract 5141, Wayne County, Michigan",4,163,26,514100
,"Block Group 1, Census Tract 5142, Wayne County, Michigan",1,163,26,514200
,"Block Group 2, Census Tract 5142, Wayne County, Michigan",2,163,26,514200
,"Block Group 3, Census Tract 5142, Wayne County, Michigan",3,163,26,514200
,"Block Group 4, Census Tract 5142, Wayne County, Michigan",4,163,26,514200
,"Block Group 5, Census Tract 5142, Wayne County, Michigan",5,163,26,514200
,"Block Group 1, Census Tract 5143, Wayne County, Michigan",1,163,26,514300
,"Block Group 2, Census Tract 5143, Wayne County, Michigan",2,163,26,514300
,"Block Group 3, Census Tract 5143, Wayne County, Michigan",3,163,26,514300
,"Block Group 1, Census Tract 5145, Wayne County, Michigan",1,163,26,514500
,"Block Group 2, Census Tract 5145, Wayne County, Michigan",2,163,26,514500
,"Block Group 1, Census Tract 5152, Wayne County, Michigan",1,163,26,515200
,"Block Group 2, Census Tract 5152, Wayne County, Michigan",2,163,26,515200
,"Block Group 1, Census Tract 5153, Wayne County, Michigan",1,163,26,515300
,"Block Group 2, Census Tract 5153, Wayne County, Michigan",2,163,26,515300
,"Block Group 3, Census Tract 5153, Wayne County, Michigan",3,163,26,515300
,"Block Group 1, Census Tract 5154, Wayne County, Michigan",1,163,26,515400
,"Block Group 2, Census Tract 5154, Wayne County, Michigan",2,163,26,515400
,"Block Group 1, Census Tract 5156, Wayne County, Michigan",1,163,26,515600
,"Block Group 2, Census Tract 5156, Wayne County, Michigan",2,163,26,515600
,"Block Group 1, Census Tract 5157, Wayne County, Michigan",1,163,26,515700
,"Block Group 2, Census Tract 5157, Wayne County, Michigan",2,163,26,515700
,"Block Group 1, Census Tract 5159, Wayne County, Michigan",1,163,26,515900
,"Block Group 2, Census Tract 5159, Wayne County, Michigan",2,163,26,515900
,"Block Group 3, Census Tract 5159, Wayne County, Michigan",3,163,26,515900
,"Block Group 1, Census Tract 5160, Wayne County, Michigan",1,163,26,516000
,"Block Group 2, Census Tract 5160, Wayne County, Michigan",2,163,26,516000
,"Block Group 3, Census Tract 5160, Wayne County, Michigan",3,163,26,516000
,"Block Group 4, Census Tract 5160, Wayne County, Michigan",4,163,26,516000
,"Block Group 1, Census Tract 5161, Wayne County, Michigan",1,163,26,516100
,"Block Group 2, Census Tract 5161, Wayne County, Michigan",2,163,26,516100
,"Block Group 1, Census Tract 5162, Wayne County, Michigan",1,163,26,516200
,"Block Group 2, Census Tract 5162, Wayne County, Michigan",2,163,26,516200
,"Block Group 1, Census Tract 5163, Wayne County, Michigan",1,163,26,516300
,"Block Group 1, Census Tract 5164, Wayne County, Michigan",1,163,26,516400
,"Block Group 2, Census Tract 5164, Wayne County, Michigan",2,163,26,516400
,"Block Group 1, Census Tract 5165, Wayne County, Michigan",1,163,26,516500
,"Block Group 1, Census Tract 5166, Wayne County, Michigan",1,163,26,516600
,"Block Group 2, Census Tract 5166, Wayne County, Michigan",2,163,26,516600
,"Block Group 1, Census Tract 5167, Wayne County, Michigan",1,163,26,516700
,"Block Group 2, Census Tract 5167, Wayne County, Michigan",2,163,26,516700
,"Block Group 1, Census Tract 5168, Wayne County, Michigan",1,163,26,516800
,"Block Group 2, Census Tract 5168, Wayne County, Michigan",2,163,26,516800
,"Block Group 1, Census Tract 5169, Wayne County, Michigan",1,163,26,516900
,"Block Group 1, Census Tract 5170, Wayne County, Michigan",1,163,26,517000
,"Block Group 1, Census Tract 5171, Wayne County, Michigan",1,163,26,517100
,"Block Group 1, Census Tract 5172, Wayne County, Michigan",1,163,26,517200
,"Block Group 2, Census Tract 5172, Wayne County, Michigan",2,163,26,517200
,"Block Group 1, Census Tract 5173, Wayne County, Michigan",1,163,26,517300
,"Block Group 2, Census Tract 5173, Wayne County, Michigan",2,163,26,517300
,"Block Group 1, Census Tract 5175, Wayne County, Michigan",1,163,26,517500
,"Block Group 2, Census Tract 5175, Wayne County, Michigan",2,163,26,517500
,"Block Group 3, Census Tract 5175, Wayne County, Michigan",3,163,26,517500
,"Block Group 1, Census Tract 5180, Wayne County, Michigan",1,163,26,518000
,"Block Group 2, Census Tract 5180, Wayne County, Michigan",2,163,26,518000
,"Block Group 1, Census Tract 5184, Wayne County, Michigan",1,163,26,518400
,"Block Group 2, Census Tract 5184, Wayne County, Michigan",2,163,26,518400
,"Block Group 1, Census Tract 5185, Wayne County, Michigan",1,163,26,518500
,"Block Group 2, Census Tract 5185, Wayne County, Michigan",2,163,26,518500
,"Block Group 1, Census Tract 5186, Wayne County, Michigan",1,163,26,518600
,"Block Group 2, Census Tract 5186, Wayne County, Michigan",2,163,26,518600
,"Block Group 1, Census Tract 5188, Wayne County, Michigan",1,163,26,518800
,"Block Group 2, Census Tract 5188, Wayne County, Michigan",2,163,26,518800
,"Block Group 1, Census Tract 5189, Wayne County, Michigan",1,163,26,518900
,"Block Group 1, Census Tract 5202, Wayne County, Michigan",1,163,26,520200
,"Block Group 2, Census Tract 5202, Wayne County, Michigan",2,163,26,520200
,"Block Group 1, Census Tract 5203, Wayne County, Michigan",1,163,26,520300
,"Block Group 2, Census Tract 5203, Wayne County, Michigan",2,163,26,520300
,"Block Group 1, Census Tract 5204, Wayne County, Michigan",1,163,26,520400
,"Block Group 1, Census Tract 5207, Wayne County, Michigan",1,163,26,520700
,"Block Group 2, Census Tract 5207, Wayne County, Michigan",2,163,26,520700
,"Block Group 1, Census Tract 5208, Wayne County, Michigan",1,163,26,520800
,"Block Group 1, Census Tract 5211, Wayne County, Michigan",1,163,26,521100
,"Block Group 2, Census Tract 5211, Wayne County, Michigan",2,163,26,521100
,"Block Group 1, Census Tract 5213, Wayne County, Michigan",1,163,26,521300
,"Block Group 1, Census Tract 5214, Wayne County, Michigan",1,163,26,521400
,"Block Group 1, Census Tract 5215, Wayne County, Michigan",1,163,26,521500
,"Block Group 2, Census Tract 5215, Wayne County, Michigan",2,163,26,521500
,"Block Group 1, Census Tract 5218, Wayne County, Michigan",1,163,26,521800
,"Block Group 1, Census Tract 5219, Wayne County, Michigan",1,163,26,521900
,"Block Group 2, Census Tract 5219, Wayne County, Michigan",2,163,26,521900
,"Block Group 3, Census Tract 5219, Wayne County, Michigan",3,163,26,521900
,"Block Group 1, Census Tract 5220, Wayne County, Michigan",1,163,26,522000
,"Block Group 1, Census Tract 5221, Wayne County, Michigan",1,163,26,522100
,"Block Group 2, Census Tract 5221, Wayne County, Michigan",2,163,26,522100
,"Block Group 1, Census Tract 5222, Wayne County, Michigan",1,163,26,522200
,"Block Group 2, Census Tract 5222, Wayne County, Michigan",2,163,26,522200
,"Block Group 1, Census Tract 5223, Wayne County, Michigan",1,163,26,522300
,"Block Group 2, Census Tract 5223, Wayne County, Michigan",2,163,26,522300
,"Block Group 1, Census Tract 5224, Wayne County, Michigan",1,163,26,522400
,"Block Group 2, Census Tract 5224, Wayne County, Michigan",2,163,26,522400
,"Block Group 1, Census Tract 5225, Wayne County, Michigan",1,163,26,522500
,"Block Group 2, Census Tract 5225, Wayne County, Michigan",2,163,26,522500
,"Block Group 3, Census Tract 5225, Wayne County, Michigan",3,163,26,522500
,"Block Group 1, Census Tract 5231, Wayne County, Michigan",1,163,26,523100
,"Block Group 1, Census Tract 5232, Wayne County, Michigan",1,163,26,523200
,"Block Group 2, Census Tract 5232, Wayne County, Michigan",2,163,26,523200
,"Block Group 1, Census Tract 5233, Wayne County, Michigan",1,163,26,523300
,"Block Group 2, Census Tract 5233, Wayne County, Michigan",2,163,26,523300
