B01003_001E,B17001_002E,NAME,county,state,tract
990,324,"Census Tract 5427, Wayne County, Michigan",163,26,542700
2358,325,"Census Tract 5428, Wayne County, Michigan",163,26,542800
3346,266,"Census Tract 5429, Wayne County, Michigan",163,26,542900
2238,520,"Census Tract 5430, Wayne County, Michigan",163,26,543000
2612,674,"Census Tract 5431, Wayne County, Michigan",163,26,543100
3112,971,"Census Tract 5432, Wayne County, Michigan",163,26,543200
3272,1018,"Census Tract 5434, Wayne County, Michigan",163,26,543400
1415,850,"Census Tract 5435, Wayne County, Michigan",163,26,543500
1121,737,"Census Tract 5436, Wayne County, Michigan",163,26,543600
2748,1486,"Census Tract 5437, Wayne County, Michigan",163,26,543700
845,437,"Census Tract 5438, Wayne County, Michigan",163,26,543800
790,377,"Census Tract 5439, Wayne County, Michigan",163,26,543900
2269,862,"Census Tract 5440, Wayne County, Michigan",163,26,544000
1930,462,"Census Tract 5441, Wayne County, Michigan",163,26,544100
2187,986,"Census Tract 5442, Wayne County, Michigan",163,26,544200
2618,570,"Census Tract 5443, Wayne County, Michigan",163,26,544300
987,383,"Census Tract 5451, Wayne County, Michigan",163,26,545100
2935,1202,"Census Tract 5452, Wayne County, Michigan",163,26,545200
1802,529,"Census Tract 5453, Wayne County, Michigan",163,26,545300
1036,496,"Census Tract 5454, Wayne County, Michigan",163,26,545400
4296,2106,"Census Tract 5455, Wayne County, Michigan",163,26,545500
4568,2269,"Census Tract 5456, Wayne County, Michigan",163,26,545600
2880,1333,"Census Tract 5457, Wayne County, Michigan",163,26,545700
4607,2131,"Census Tract 5458, Wayne County, Michigan",163,26,545800
3601,1630,"Census Tract 5459, Wayne County, Michigan",163,26,545900
2848,1388,"Census Tract 5460, Wayne County, Michigan",163,26,546000
3598,1501,"Census Tract 5461, Wayne County, Michigan",163,26,546100
3524,1238,"Census Tract 5462, Wayne County, Michigan",163,26,546200
1917,229,"Census Tract 5463, Wayne County, Michigan",163,26,546300
1175,465,"Census Tract 5464, Wayne County, Michigan",163,26,546400
2387,890,"Census Tract 5465, Wayne County, Michigan",163,26,546500
2064,1194,"Census Tract 5466, Wayne County, Michigan",163,26,546600
2995,1211,"Census Tract 5467, Wayne County, Michigan",163,26,546700
4003,2354,"Census Tract 5468, Wayne County, Michigan",163,26,546800
1123,337,"Census Tract 5469, Wayne County, Michigan",163,26,546900
4056,97,"Census Tract 5501, Wayne County, Michigan",163,26,550100
3862,344,"Census Tract 5502, Wayne County, Michigan",163,26,550200
3358,149,"Census Tract 5503, Wayne County, Michigan",163,26,550300
1588,86,"Census Tract 5504, Wayne County, Michigan",163,26,550400
3668,108,"Census Tract 5505, Wayne County, Michigan",163,26,550500
2189,35,"Census Tract 5506, Wayne County, Michigan",163,26,550600
5585,269,"Census Tract 5507, Wayne County, Michigan",163,26,550700
1491,11,"Census Tract 5508, Wayne County, Michigan",163,26,550800
2873,32,"Census Tract 5509, Wayne County, Michigan",163,26,550900
4631,89,"Census Tract 5511, Wayne County, Michigan",163,26,551100
4050,234,"Census Tract 5512, Wayne County, Michigan",163,26,551200
3612,350,"Census Tract 5513, Wayne County, Michigan",163,26,551300
4358,524,"Census Tract 5514, Wayne County, Michigan",163,26,551400
2430,207,"Census Tract 5515, Wayne County, Michigan",163,26,551500
3495,749,"Census Tract 5516, Wayne County, Michigan",163,26,551600
3343,46,"Census Tract 5517, Wayne County, Michigan",163,26,551700
3761,284,"Census Tract 5518, Wayne County, Michigan",163,26,551800
2890,1302,"Census Tract 5520, Wayne County, Michigan",163,26,552000
4399,1958,"Census Tract 5521, Wayne County, Michigan",163,26,552100
3684,1144,"Census Tract 5522, Wayne County, Michigan",163,26,552200
3111,1861,"Census Tract 5523, Wayne County, Michigan",163,26,552300
2690,1404,"Census Tract 5524, Wayne County, Michigan",163,26,552400
5211,2849,"Census Tract 5528, Wayne County, Michigan",163,26,552800
1226,582,"Census Tract 5530, Wayne County, Michigan",163,26,553000
1729,699,"Census Tract 5531, Wayne County, Michigan",163,26,553100
728,409,"Census Tract 5532, Wayne County, Michigan",163,26,553200
865,360,"Census Tract 5533, Wayne County, Michigan",163,26,553300
2588,1691,"Census Tract 5534, Wayne County, Michigan",163,26,553400
2186,676,"Census Tract 5536, Wayne County, Michigan",163,26,553600
1656,603,"Census Tract 5538, Wayne County, Michigan",163,26,553800
3927,665,"Census Tract 5541, Wayne County, Michigan",163,26,554100
3026,550,"Census Tract 5542, Wayne County, Michigan",163,26,554200
5005,731,"Census Tract 5543, Wayne County, Michigan",163,26,554300
3170,626,"Census Tract 5544, Wayne County, Michigan",163,26,554400
2931,385,"Census Tract 5545, Wayne County, Michigan",163,26,554500
3703,591,"Census Tract 5546, Wayne County, Michigan",163,26,554600
2738,226,"Census Tract 5547, Wayne County, Michigan",163,26,554700
3529,517,"Census Tract 5548, Wayne County, Michigan",163,26,554800
3506,537,"Census Tract 5549, Wayne County, Michigan",163,26,554900
4398,1156,"Census Tract 5551, Wayne County, Michigan",163,26,555100
3134,527,"Census Tract 5553, Wayne County, Michigan",163,26,555300
2734,497,"Census Tract 5554, Wayne County, Michigan",163,26,555400
2957,649,"Census Tract 5555, Wayne County, Michigan",163,26,555500
2653,68,"Census Tract 5556, Wayne County, Michigan",163,26,555600
3635,219,"Census Tract 5561, Wayne County, Michigan",163,26,556100
2690,560,"Census Tract 5562, Wayne County, Michigan",163,26,556200
3125,179,"Census Tract 5563, Wayne County, Michigan",163,26,556300
4406,77,"Census Tract 5564, Wayne County, Michigan",163,26,556400
2129,182,"Census Tract 5565, Wayne County, Michigan",163,26,556500
3583,148,"Census Tract 5566, Wayne County, Michigan",163,26,556600
2575,124,"Census Tract 5567, Wayne County, Michigan",163,26,556700
1875,68,"Census Tract 5568, Wayne County, Michigan",163,26,556800
3876,202,"Census Tract 5569, Wayne County, Michigan",163,26,556900
3012,258,"Census Tract 5570, Wayne County, Michigan",163,26,557000
2438,97,"Census Tract 5571, Wayne County, Michigan",163,26,557100
2065,169,"Census Tract 5572, Wayne County, Michigan",163,26,557200
2191,85,"Census Tract 5573, Wayne County, Michigan",163,26,557300
3369,44,"Census Tract 5574, Wayne County, Michigan",163,26,557400
3815,151,"Census Tract 5575, Wayne County, Michigan",163,26,557500
2951,33,"Census Tract 5576, Wayne County, Michigan",163,26,557600
4383,91,"Census Tract 5577, Wayne County, Michigan",163,26,557700
4955,186,"Census Tract 5579, Wayne County, Michigan",163,26,557900
4197,179,"Census Tract 5580, Wayne County, Michigan",163,26,558000
3237,206,"Census Tract 5581, Wayne County, Michigan",163,26,558100
4492,400,"Census Tract 5582, Wayne County, Michigan",163,26,558200
1884,315,"Census Tract 5583, Wayne County, Michigan",163,26,558300
3835,279,"Census Tract 5584, Wayne County, Michigan",163,26,558400
3942,161,"Census Tract 5585, Wayne County, Michigan",163,26,558500
1924,81,"Census Tract 5586, Wayne County, Michigan",163,26,558600
2563,54,"Census Tract 5587, Wayne County, Michigan",163,26,558700
2694,153,"Census Tract 5588, Wayne County, Michigan",163,26,558800
1800,90,"Census Tract 5589, Wayne County, Michigan",163,26,558900
2750,168,"Census Tract 5590, Wayne County, Michigan",163,26,559000
2407,67,"Census Tract 5591, Wayne County, Michigan",163,26,559100
2051,183,"Census Tract 5592, Wayne County, Michigan",163,26,559200
2683,259,"Census Tract 5601, Wayne County, Michigan",163,26,560100
5549,383,"Census Tract 5602, Wayne County, Michigan",163,26,560200
3157,61,"Census Tract 5603, Wayne County, Michigan",163,26,560300
5804,214,"Census Tract 5604, Wayne County, Michigan",163,26,560400
6372,17,"Census Tract 5612, Wayne County, Michigan",163,26,561200
7842,90,"Census Tract 5613, Wayne County, Michigan",163,26,561300
3994,287,"Census Tract 5616, Wayne County, Michigan",163,26,561600
2209,184,"Census Tract 5617, Wayne County, Michigan",163,26,561700
6834,129,"Census Tract 5619, Wayne County, Michigan",163,26,561900
2141,51,"Census Tract 5623, Wayne County, Michigan",163,26,562300
5278,133,"Census Tract 5624, Wayne County, Michigan",163,26,562400
1984,230,"Census Tract 5625, Wayne County, Michigan",163,26,562500
3526,151,"Census Tract 5626, Wayne County, Michigan",163,26,562600
3446,70,"Census Tract 5627, Wayne County, Michigan",163,26,562700
3160,113,"Census Tract 5628, Wayne County, Michigan",163,26,562800
3391,206,"Census Tract 5629, Wayne County, Michigan",163,26,562900
2983,284,"Census Tract 5632, Wayne County, Michigan",163,26,563200
2961,223,"Census Tract 5633, Wayne County, Michigan",163,26,563300
5252,314,"Census Tract 5634, Wayne County, Michigan",163,26,563400
6180,143,"Census Tract 5635, Wayne County, Michigan",163,26,563500
2022,75,"Census Tract 5636, Wayne County, Michigan",163,26,563600
1686,92,"Census Tract 5637, Wayne County, Michigan",163,26,563700
3079,171,"Census Tract 5638, Wayne County, Michigan",163,26,563800
2312,129,"Census Tract 5639, Wayne County, Michigan",163,26,563900
1650,87,"Census Tract 5640, Wayne County, Michigan",163,26,564000
4054,410,"Census Tract 5641, Wayne County, Michigan",163,26,564100
3835,274,"Census Tract 5642, Wayne County, Michigan",163,26,564200
2527,113,"Census Tract 5643, Wayne County, Michigan",163,26,564300
5177,140,"Census Tract 5644.01, Wayne County, Michigan",163,26,564401
4560,165,"Census Tract 5644.02, Wayne County, Michigan",163,26,564402
4568,41,"Census Tract 5645.01, Wayne County, Michigan",163,26,564501
3483,194,"Census Tract 5645.02, Wayne County, Michigan",163,26,564502
3250,71,"Census Tract 5645.03, Wayne County, Michigan",163,26,564503
6749,553,"Census Tract 5645.04, Wayne County, Michigan",163,26,564504
6734,144,"Census Tract 5646, Wayne County, Michigan",163,26,564600
4738,483,"Census Tract 5647, Wayne County, Michigan",163,26,564700
4840,264,"Census Tract 5648, Wayne County, Michigan",163,26,564800
2496,603,"Census Tract 5649, Wayne County, Michigan",163,26,564900
4515,214,"Census Tract 5650, Wayne County, Michigan",163,26,565000
3516,672,"Census Tract 5651, Wayne County, Michigan",163,26,565100
5384,285,"Census Tract 5652, Wayne County, Michigan",163,26,565200
5024,567,"Census Tract 5653, Wayne County, Michigan",163,26,565300
2212,255,"Census Tract 5656, Wayne County, Michigan",163,26,565600
3445,426,"Census Tract 5657, Wayne County, Michigan",163,26,565700
3699,309,"Census Tract 5658, Wayne County, Michigan",163,26,565800
2748,582,"Census Tract 5659, Wayne County, Michigan",163,26,565900
993,213,"Census Tract 5664, Wayne County, Michigan",163,26,566400
2146,560,"Census Tract 5665, Wayne County, Michigan",163,26,566500
2099,128,"Census Tract 5666, Wayne County, Michigan",163,26,566600
4051,784,"Census Tract 5667, Wayne County, Michigan",163,26,566700
2869,635,"Census Tract 5668, Wayne County, Michigan",163,26,566800
4985,1088,"Census Tract 5669, Wayne County, Michigan",163,26,566900
